sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR10080632	5126775	2414360	0.302895484978373	0.0379733848276938	1.95054395794627e-07	0.000165796236425433	4.48625110327643e-06	0.0488180191250835	0.527017471997503	0	0.000139658947388953	0.000895104622301544	1.87252219962842e-05	0.000106889808895456	0.000845560805769709	0.000189007709524994	0.032733443539067	0.0116939011366795	0.00250683909475255	0.00349342422868177	0.0145153629718488	0.0129430294873483	0.00222498549282931	0.000819228462337434	TRUE
SRR10080633	7963668	3764943	0.393148232698802	0.000197019765263946	0	0.000320455347962773	5.77623276108446e-06	0.0175145422938274	0.081756045078725	0	3.76710832244639e-07	1.02967627480201e-05	4.31961754307186e-05	0	0.000844711256169896	2.51140554829759e-07	0.00463605464215736	0.349712218038221	0.00803687446538454	0.010063076461751	0.0341755834120659	0.0913115664791651	0.00146628412937355	0.00675743890880433	TRUE
SRR10080635	6514428	2908770	0.376180533425191	0.000141531996362536	0	0.000318063228268084	1.45830148095888e-05	0.0185715461127209	0.0527707114116543	0	1.53505419048303e-07	1.61180690000718e-05	1.8727661123893e-05	0	0.00118490832963385	0	0.00571991892457788	0.338790450980501	0.0140113606290529	0.0149105953738379	0.0498861910823176	0.118610260179405	0.00179939052208421	0.00705495555404097	TRUE
SRR10080636	7530860	3203692	0.409632233237638	0.000148190246532269	0	0.000200375521520782	1.42082046406387e-05	0.0252570091596445	0.0361208414444034	0	3.98360877774915e-07	1.72623047035797e-05	2.05819786850373e-05	0	0.00122668592962822	1.32786959258305e-07	0.00641706259311686	0.277284798814478	0.0162803451398645	0.0167804208284313	0.0528578409371572	0.148836786236897	0.00120291706392099	0.00770190921090022	TRUE
SRR10080637	8356503	3308797	0.436454459479043	0.000362352529521021	0	0.000466104062907654	6.1030313756843e-06	0.0267582025639194	0.0369901141661769	0	4.78669127504651e-07	4.03278739922669e-05	4.37982251666756e-05	0	0.0015903781761342	1.19667281876163e-07	0.00754454345316456	0.218192586061418	0.0180880686574276	0.0190087887241828	0.0633894345517497	0.159626939642097	0.00168312031958823	0.00975408014572603	TRUE
SRR10080638	5e+06	1822727	0.3663486	0.0197664	0	0.0033606	1.8e-06	0.0568806	0.4819464	0	3.2e-06	0.0001578	8.8e-06	3.08e-05	0.000875	2.26e-05	0.014927	0.0193194	0.0021604	0.0049548	0.0126536	0.0146146	0.001506	0.0004616	TRUE
SRR10080639	5e+06	1749614	0.442561	0.081427	1.4e-06	0.0088246	7e-06	0.0572904	0.3177454	2e-07	8.6e-06	0.000201	2.8e-05	0.0002616	0.001216	0.0002472	0.0213628	0.0159842	0.0038812	0.0071842	0.0189854	0.0190706	0.0029054	0.0008068	TRUE
SRR10080640	7965895	3681791	0.39088074849091	9.75408287455459e-05	0	0.000652280754391063	1.50642206556828e-05	0.00956904403083395	0.0670300072998703	0	0	9.6662082540631e-06	1.69472482376431e-05	0	0.000622905524112482	0	0.00291542883756314	0.422033054666174	0.00619001380259218	0.00740996460535822	0.0207984162482684	0.0645436576806498	0.0023601867712291	0.00485507278215442	TRUE
SRR10080641	8895705	4268607	0.333583229210051	6.46379348236031e-05	0	0.000661780038794002	2.33820703361903e-05	0.0120338972571595	0.0710504676133033	0	3.37241399079668e-07	1.47262077598122e-05	9.21793157484426e-06	1.12413799693223e-07	0.00074193107797527	0	0.00367424504297299	0.440826106531186	0.00742999009072356	0.00936125916945312	0.0290761665320511	0.0849503215315706	0.00163741940633148	0.00486077269873495	TRUE
SRR10080642	7210024	2941502	0.4528235967037	0.000119833165603887	0	0.00036130254212746	1.80304531579923e-05	0.0161974495507921	0.0475582328158686	0	4.16087380569052e-07	1.67821910162851e-05	2.14978479960677e-05	0	0.00105602977188425	1.38695793523017e-07	0.00473549047825638	0.300554061955966	0.0121368528038187	0.0125625101941408	0.046765170268504	0.103968308565963	0.00110429590803026	NA	TRUE
SRR10080643	7968354	3107121	0.446526221099113	0.000427064359841443	0	0.000255510736596291	4.26687870543904e-06	0.0257373103654782	0.0300257744573095	0	2.50992865025826e-07	4.02843548366451e-05	4.00333619716192e-05	1.25496432512913e-07	0.00173787459743882	0	0.0084056255532824	0.21619496322578	0.0172228794052071	0.0191917929349022	0.0589567180373764	0.161693996024775	0.00304705338141353	0.0104922547366746	TRUE
SRR10080644	6780259	2985791	0.312885097752165	0.000142767407557735	0	0.000348511760391454	3.49544169330405e-05	0.0172030301497332	0.0438291516592508	0	4.42460973835955e-07	7.37434956393259e-06	9.14419345927641e-06	5.89947965114607e-07	0.00112149108168287	1.47486991278652e-07	0.00495984002970978	0.48001573391223	0.00919242170542453	0.00998870397133797	0.0318240055431511	0.0827564256763643	0.00136749938313566	0.00431266711197906	TRUE
SRR10080645	5e+06	1487021	0.5890758	0.05334	0	0.0006428	1.2e-06	0.0719	0.176217	0	3.94e-05	0.000781	3.24e-05	8.8e-06	0.0021824	8.8e-06	0.0100158	0.0241184	0.0058518	0.0087458	0.0268752	0.024861	0.0035636	0.0017388	TRUE
